"GEOID","NAME","variable","year_2011","year_2021","change","pct_change"
"4108750","Brooks CDP, Oregon","median_income",14743,76875,62132,421.433900834294
"4105200","Beaver CDP, Oregon","median_income",17732,88491,70759,399.046920821114
"4178160","Wallowa Lake CDP, Oregon","median_income",17871,74129,56258,314.800514800515
"4102250","Antelope city, Oregon","median_income",16223,59583,43360,267.274856684953
"4175500","Tygh Valley CDP, Oregon","median_income",33954,123958,90004,265.076279672498
"4151450","Neahkahnie CDP, Oregon","median_income",27849,98315,70466,253.028834069446
"4175050","Tumalo CDP, Oregon","median_income",30014,90185,60171,200.476444325981
"4132400","Harper CDP, Oregon","median_income",20289,53125,32836,161.84139188723
"4151950","Nesika Beach CDP, Oregon","median_income",25654,63063,37409,145.821314414906
"4109600","Bunker Hill CDP, Oregon","median_income",23970,57935,33965,141.697955778056
"4111050","Cape Meares CDP, Oregon","median_income",48840,115179,66339,135.829238329238
"4104400","Barview CDP, Oregon","median_income",25314,58079,32765,129.434305127597
"4183050","Winchester Bay CDP, Oregon","median_income",20395,45733,25338,124.23633243442
"4157850","Pine Grove CDP, Oregon","median_income",10745,21382,10637,98.9948813401582
"4133250","Helix city, Oregon","median_income",71094,141250,70156,98.6806200241933
"4139566","Kirkpatrick CDP, Oregon","median_income",98258,192917,94659,96.3371939180525
"4166150","Selma CDP, Oregon","median_income",25328,48750,23422,92.4747315224258
"4164200","Rufus city, Oregon","median_income",32696,61750,29054,88.8610227550771
"4172400","Takilma CDP, Oregon","median_income",15288,27958,12670,82.8754578754579
"4145700","Manzanita city, Oregon","median_income",36520,66111,29591,81.026834611172
"4147350","Melrose CDP, Oregon","median_income",60298,109063,48765,80.8733291319778
"4137000","Jacksonville city, Oregon","median_income",51391,91094,39703,77.2567181023915
"4137550","John Day city, Oregon","median_income",39291,68500,29209,74.3401796849151
"4175150","Turner city, Oregon","median_income",52295,89648,37353,71.4274787264557
"4123800","Estacada city, Oregon","median_income",45345,75000,29655,65.3986106516705
"4154550","Odell CDP, Oregon","median_income",53136,87813,34677,65.2608401084011
"4178300","Wamic CDP, Oregon","median_income",35571,58438,22867,64.2855134800821
"4128450","Gearhart city, Oregon","median_income",56188,91985,35797,63.7093329536556
"4161700","Richland city, Oregon","median_income",31691,51875,20184,63.690006626487
"4182450","Williams CDP, Oregon","median_income",43547,70739,27192,62.4428778101821
