GEOID,NAME,avg_household_size,median_housing_value,median_monthly_housing_cost,housing_units_without_mortgage,housing_units_with_mortgage,total_housing_units,pct_housing_without_mortgage,pct_housing_with_mortgage
4101650,"Aloha CDP, Oregon",2.86,369700,1645,3042,9586,12628,31.73,75.91
4103850,"Banks city, Oregon",2.85,353000,1825,65,526,591,12.36,89.00
4104000,"Barlow city, Oregon",2.11,NA,NA,55,32,87,171.88,36.78
4105250,"Beavercreek CDP, Oregon",2.53,542700,1447,625,852,1477,73.36,57.68
4105350,"Beaverton city, Oregon",2.38,419600,1605,5209,14915,20124,34.92,74.12
4105950,"Bethany CDP, Oregon",2.92,594200,2164,1852,5124,6976,36.14,73.45
4107550,"Boring CDP, Oregon",2.91,448800,1506,231,326,557,70.86,58.53
4109535,"Bull Mountain CDP, Oregon",2.93,538700,2239,459,2201,2660,20.85,82.74
4110750,"Canby city, Oregon",2.7,385700,1456,1308,3170,4478,41.26,70.79
4112050,"Cedar Hills CDP, Oregon",2.57,461200,1383,691,1364,2055,50.66,66.37
4112150,"Cedar Mill CDP, Oregon",2.96,669100,1971,1434,3464,4898,41.40,70.72
4112850,"Cherry Grove CDP, Oregon",3.17,308600,1250,66,90,156,73.33,57.69
4115550,"Cornelius city, Oregon",3.06,330000,1492,682,2410,3092,28.30,77.94
4117800,"Damascus CDP, Oregon",3.03,501800,2019,979,2414,3393,40.56,71.15
4119650,"Dilley CDP, Oregon",2.96,375000,1456,15,66,81,22.73,81.48
4121215,"Dunthorpe CDP, Oregon",2.81,1347400,4001,142,445,587,31.91,75.81
4121250,"Durham city, Oregon",2.56,610100,1538,113,234,347,48.29,67.44
4123800,"Estacada city, Oregon",3.08,363000,1713,146,1058,1204,13.80,87.87
4124250,"Fairview city, Oregon",2.32,328600,1348,1064,1328,2392,80.12,55.52
4126200,"Forest Grove city, Oregon",2.75,370900,1388,1543,4029,5572,38.30,72.31
4127825,"Garden Home-Whitford CDP, Oregon",2.07,498700,1753,756,1551,2307,48.74,67.23
4128100,"Gaston city, Oregon",2.37,336000,1065,73,111,184,65.77,60.33
4129000,"Gladstone city, Oregon",2.51,365100,1616,723,2255,2978,32.06,75.72
4130250,"Government Camp CDP, Oregon",1.52,NA,NA,28,0,28,NA,0.00
4131250,"Gresham city, Oregon",2.69,347600,1407,6372,16983,23355,37.52,72.72
4132050,"Happy Valley city, Oregon",3.15,559300,2085,1802,4532,6334,39.76,71.55
4134100,"Hillsboro city, Oregon",2.65,386700,1658,5156,15073,20229,34.21,74.51
4137400,"Jennings Lodge CDP, Oregon",2.21,361700,1379,563,1404,1967,40.10,71.38
4137650,"Johnson City city, Oregon",1.78,56000,846,163,83,246,196.39,33.74
4139150,"King City city, Oregon",1.83,299100,1305,659,1450,2109,45.45,68.75
4140550,"Lake Oswego city, Oregon",2.45,691700,2033,3669,7967,11636,46.05,68.47
4146100,"Marlene Village CDP, Oregon",2.45,410800,1574,338,1002,1340,33.73,74.78
4146730,"Maywood Park city, Oregon",2.86,433500,1897,71,262,333,27.10,78.68
4147800,"Metzger CDP, Oregon",2.48,420800,1555,165,924,1089,17.86,84.85
4148650,"Milwaukie city, Oregon",2.26,388700,1458,1295,4146,5441,31.23,76.20
4149450,"Molalla city, Oregon",2.67,333900,1443,445,1996,2441,22.29,81.77
4150236,"Mount Hood Villages CDP, Oregon",2.25,363900,1430,473,1209,1682,39.12,71.88
4150450,"Mulino CDP, Oregon",3.12,554500,1596,215,392,607,54.85,64.58
4153150,"North Plains city, Oregon",2.81,419800,1835,199,765,964,26.01,79.36
4153900,"Oak Grove CDP, Oregon",2.35,379800,1510,1531,3319,4850,46.13,68.43
4153988,"Oak Hills CDP, Oregon",2.91,498400,1896,630,1973,2603,31.93,75.80
4154325,"Oatfield CDP, Oregon",2.6,419700,1583,1399,2715,4114,51.53,65.99
4155200,"Oregon City city, Oregon",2.69,411500,1667,1945,6979,8924,27.87,78.20
4155500,"Orient CDP, Oregon",3.85,669600,1634,42,73,115,57.53,63.48
4159000,"Portland city, Oregon",2.26,462800,1568,41150,108195,149345,38.03,72.45
4160900,"Raleigh Hills CDP, Oregon",2.15,745600,1597,556,1201,1757,46.29,68.36
4161550,"Rhododendron CDP, Oregon",1.56,382500,1539,19,92,111,20.65,82.88
4162250,"Rivergrove city, Oregon",2.57,677600,2591,50,141,191,35.46,73.82
4163010,"Rockcreek CDP, Oregon",2.6,477800,1621,599,1640,2239,36.52,73.25
4165250,"Sandy city, Oregon",2.87,347000,1740,704,2612,3316,26.95,78.77
4167100,"Sherwood city, Oregon",2.97,454400,1988,841,4177,5018,20.13,83.24
4169800,"Stafford CDP, Oregon",2.64,959000,3093,193,453,646,42.60,70.12
4173650,"Tigard city, Oregon",2.49,456500,1645,3710,10141,13851,36.58,73.21
4174850,"Troutdale city, Oregon",3.02,351500,1530,980,2763,3743,35.47,73.82
4174950,"Tualatin city, Oregon",2.58,466200,1622,1391,4460,5851,31.19,76.23
4180025,"West Haven-Sylvan CDP, Oregon",2.14,615300,1711,739,1263,2002,58.51,63.09
4180150,"West Linn city, Oregon",2.7,572000,2017,2639,5721,8360,46.13,68.43
4180900,"West Slope CDP, Oregon",2.29,574500,1467,661,1106,1767,59.76,62.59
4182800,"Wilsonville city, Oregon",2.38,464100,1626,1528,3660,5188,41.75,70.55
4183950,"Wood Village city, Oregon",3.33,207900,1063,423,456,879,92.76,51.88
