"GEOID","incgroup","estimate"
"4101650","above100k",7004
"4101650","below35k",2925
"4101650","bw35kand75k",5021
"4101650","bw75kand100k",3308
"4103850","above100k",319
"4103850","below35k",67
"4103850","bw35kand75k",271
"4103850","bw75kand100k",73
"4104000","above100k",13
"4104000","below35k",56
"4104000","bw35kand75k",2
"4104000","bw75kand100k",16
"4105250","above100k",839
"4105250","below35k",216
"4105250","bw35kand75k",302
"4105250","bw75kand100k",232
"4105350","above100k",15914
"4105350","below35k",7710
"4105350","bw35kand75k",10727
"4105350","bw75kand100k",6186
"4105950","above100k",6887
"4105950","below35k",1107
"4105950","bw35kand75k",1126
"4105950","bw75kand100k",897
"4107550","above100k",341
"4107550","below35k",199
"4107550","bw35kand75k",110
"4107550","bw75kand100k",37
"4109535","above100k",2033
"4109535","below35k",138
"4109535","bw35kand75k",679
"4109535","bw75kand100k",409
"4110750","above100k",2380
"4110750","below35k",1370
"4110750","bw35kand75k",1616
"4110750","bw75kand100k",1295
"4112050","above100k",1587
"4112050","below35k",460
"4112050","bw35kand75k",954
"4112050","bw75kand100k",696
"4112150","above100k",3663
"4112150","below35k",988
"4112150","bw35kand75k",1238
"4112150","bw75kand100k",510
"4112850","above100k",64
"4112850","below35k",40
"4112850","bw35kand75k",51
"4112850","bw75kand100k",17
"4115550","above100k",1469
"4115550","below35k",778
"4115550","bw35kand75k",1322
"4115550","bw75kand100k",591
"4117800","above100k",1872
"4117800","below35k",455
"4117800","bw35kand75k",763
"4117800","bw75kand100k",479
"4119650","above100k",60
"4119650","below35k",0
"4119650","bw35kand75k",14
"4119650","bw75kand100k",7
"4121215","above100k",517
"4121215","below35k",19
"4121215","bw35kand75k",35
"4121215","bw75kand100k",55
"4121250","above100k",392
"4121250","below35k",139
"4121250","bw35kand75k",208
"4121250","bw75kand100k",71
"4123800","above100k",539
"4123800","below35k",412
"4123800","bw35kand75k",292
"4123800","bw75kand100k",165
"4124250","above100k",1309
"4124250","below35k",955
"4124250","bw35kand75k",1529
"4124250","bw75kand100k",703
"4126200","above100k",3177
"4126200","below35k",2169
"4126200","bw35kand75k",2450
"4126200","bw75kand100k",1203
"4127825","above100k",1535
"4127825","below35k",438
"4127825","bw35kand75k",955
"4127825","bw75kand100k",513
"4128100","above100k",122
"4128100","below35k",57
"4128100","bw35kand75k",61
"4128100","bw75kand100k",23
"4129000","above100k",1901
"4129000","below35k",981
"4129000","bw35kand75k",1167
"4129000","bw75kand100k",671
"4130250","above100k",0
"4130250","below35k",24
"4130250","bw35kand75k",28
"4130250","bw75kand100k",0
"4131250","above100k",11754
"4131250","below35k",10836
"4131250","bw35kand75k",14103
"4131250","bw75kand100k",5117
"4132050","above100k",4660
"4132050","below35k",743
"4132050","bw35kand75k",1263
"4132050","bw75kand100k",766
"4134100","above100k",18211
"4134100","below35k",4944
"4134100","bw35kand75k",11070
"4134100","bw75kand100k",5231
"4137400","above100k",960
"4137400","below35k",1024
"4137400","bw35kand75k",1323
"4137400","bw75kand100k",272
"4137650","above100k",22
"4137650","below35k",85
"4137650","bw35kand75k",137
"4137650","bw75kand100k",10
"4139150","above100k",557
"4139150","below35k",1014
"4139150","bw35kand75k",749
"4139150","bw75kand100k",365
"4140550","above100k",9655
"4140550","below35k",2050
"4140550","bw35kand75k",2886
"4140550","bw75kand100k",1867
"4146100","above100k",844
"4146100","below35k",224
"4146100","bw35kand75k",629
"4146100","bw75kand100k",362
"4146730","above100k",228
"4146730","below35k",26
"4146730","bw35kand75k",86
"4146730","bw75kand100k",29
"4147800","above100k",767
"4147800","below35k",476
"4147800","bw35kand75k",334
"4147800","bw75kand100k",132
"4148650","above100k",3348
"4148650","below35k",1611
"4148650","bw35kand75k",3094
"4148650","bw75kand100k",1167
"4149450","above100k",1237
"4149450","below35k",787
"4149450","bw35kand75k",1085
"4149450","bw75kand100k",628
"4150236","above100k",637
"4150236","below35k",335
"4150236","bw35kand75k",411
"4150236","bw75kand100k",573
"4150450","above100k",338
"4150450","below35k",128
"4150450","bw35kand75k",200
"4150450","bw75kand100k",56
"4153150","above100k",629
"4153150","below35k",142
"4153150","bw35kand75k",231
"4153150","bw75kand100k",159
"4153900","above100k",2100
"4153900","below35k",1546
"4153900","bw35kand75k",2472
"4153900","bw75kand100k",1154
"4153988","above100k",2255
"4153988","below35k",486
"4153988","bw35kand75k",850
"4153988","bw75kand100k",426
"4154325","above100k",2110
"4154325","below35k",874
"4154325","bw35kand75k",1005
"4154325","bw75kand100k",890
"4155200","above100k",5721
"4155200","below35k",1956
"4155200","bw35kand75k",3790
"4155200","bw75kand100k",2042
"4155500","above100k",124
"4155500","below35k",0
"4155500","bw35kand75k",61
"4155500","bw75kand100k",0
"4159000","above100k",109899
"4159000","below35k",63661
"4159000","bw35kand75k",71030
"4159000","bw75kand100k",35207
"4160900","above100k",1617
"4160900","below35k",481
"4160900","bw35kand75k",809
"4160900","bw75kand100k",200
"4161550","above100k",0
"4161550","below35k",51
"4161550","bw35kand75k",22
"4161550","bw75kand100k",38
"4162250","above100k",135
"4162250","below35k",8
"4162250","bw35kand75k",45
"4162250","bw75kand100k",24
"4163010","above100k",1715
"4163010","below35k",341
"4163010","bw35kand75k",1088
"4163010","bw75kand100k",560
"4165250","above100k",1792
"4165250","below35k",675
"4165250","bw35kand75k",1035
"4165250","bw75kand100k",815
"4167100","above100k",3573
"4167100","below35k",632
"4167100","bw35kand75k",1500
"4167100","bw75kand100k",1109
"4169800","above100k",493
"4169800","below35k",132
"4169800","bw35kand75k",108
"4169800","bw75kand100k",25
"4173650","above100k",10242
"4173650","below35k",3503
"4173650","bw35kand75k",5523
"4173650","bw75kand100k",2589
"4174850","above100k",2082
"4174850","below35k",704
"4174850","bw35kand75k",1607
"4174850","bw75kand100k",1003
"4174950","above100k",5227
"4174950","below35k",1746
"4174950","bw35kand75k",2399
"4174950","bw75kand100k",1365
"4180025","above100k",2099
"4180025","below35k",612
"4180025","bw35kand75k",736
"4180025","bw75kand100k",502
"4180150","above100k",5834
"4180150","below35k",1171
"4180150","bw35kand75k",1839
"4180150","bw75kand100k",1154
"4180900","above100k",1274
"4180900","below35k",676
"4180900","bw35kand75k",771
"4180900","bw75kand100k",259
"4182800","above100k",4358
"4182800","below35k",2126
"4182800","bw35kand75k",2731
"4182800","bw75kand100k",1046
"4183950","above100k",241
"4183950","below35k",301
"4183950","bw35kand75k",492
"4183950","bw75kand100k",265
