"year","GEOID","NAME","variable","estimate","moe"
"2010","4101650","Aloha CDP, Oregon","B01003_001",47574,1407
"2010","4103850","Banks city, Oregon","B01003_001",2001,279
"2010","4104000","Barlow city, Oregon","B01003_001",136,87
"2010","4105250","Beavercreek CDP, Oregon","B01003_001",4443,712
"2010","4105350","Beaverton city, Oregon","B01003_001",88035,56
"2010","4105950","Bethany CDP, Oregon","B01003_001",19475,737
"2010","4109535","Bull Mountain CDP, Oregon","B01003_001",9166,503
"2010","4110750","Canby city, Oregon","B01003_001",15388,24
"2010","4112050","Cedar Hills CDP, Oregon","B01003_001",8323,539
"2010","4112150","Cedar Mill CDP, Oregon","B01003_001",14535,655
"2010","4115550","Cornelius city, Oregon","B01003_001",11512,40
"2010","4117800","Damascus city, Oregon","B01003_001",10280,43
"2010","4121250","Durham city, Oregon","B01003_001",1339,220
"2010","4123800","Estacada city, Oregon","B01003_001",2670,23
"2010","4124250","Fairview city, Oregon","B01003_001",8504,29
"2010","4126200","Forest Grove city, Oregon","B01003_001",20635,28
"2010","4127825","Garden Home-Whitford CDP, Oregon","B01003_001",6029,513
"2010","4128100","Gaston city, Oregon","B01003_001",592,150
"2010","4129000","Gladstone city, Oregon","B01003_001",11531,34
"2010","4130250","Government Camp CDP, Oregon","B01003_001",56,68
"2010","4131250","Gresham city, Oregon","B01003_001",101450,102
"2010","4132050","Happy Valley city, Oregon","B01003_001",12583,51
"2010","4134100","Hillsboro city, Oregon","B01003_001",88125,58
"2010","4137400","Jennings Lodge CDP, Oregon","B01003_001",7799,871
"2010","4137650","Johnson City city, Oregon","B01003_001",774,267
"2010","4139150","King City city, Oregon","B01003_001",3024,18
"2010","4140550","Lake Oswego city, Oregon","B01003_001",36586,102
"2010","4146730","Maywood Park city, Oregon","B01003_001",826,143
"2010","4147800","Metzger CDP, Oregon","B01003_001",3479,400
"2010","4148650","Milwaukie city, Oregon","B01003_001",20393,28
"2010","4149450","Molalla city, Oregon","B01003_001",7695,21
"2010","4150450","Mulino CDP, Oregon","B01003_001",2183,436
"2010","4153150","North Plains city, Oregon","B01003_001",1928,289
"2010","4153900","Oak Grove CDP, Oregon","B01003_001",16931,1186
"2010","4153988","Oak Hills CDP, Oregon","B01003_001",10884,545
"2010","4154325","Oatfield CDP, Oregon","B01003_001",13619,993
"2010","4155200","Oregon City city, Oregon","B01003_001",30983,40
"2010","4159000","Portland city, Oregon","B01003_001",566686,605
"2010","4160900","Raleigh Hills CDP, Oregon","B01003_001",6691,675
"2010","4162250","Rivergrove city, Oregon","B01003_001",230,68
"2010","4163010","Rockcreek CDP, Oregon","B01003_001",9778,410
"2010","4165250","Sandy city, Oregon","B01003_001",8860,30
"2010","4167100","Sherwood city, Oregon","B01003_001",17117,34
"2010","4169800","Stafford CDP, Oregon","B01003_001",1765,467
"2010","4173650","Tigard city, Oregon","B01003_001",47244,50
"2010","4174850","Troutdale city, Oregon","B01003_001",15347,39
"2010","4174950","Tualatin city, Oregon","B01003_001",25590,36
"2010","4180025","West Haven-Sylvan CDP, Oregon","B01003_001",7016,541
"2010","4180150","West Linn city, Oregon","B01003_001",24657,59
"2010","4180900","West Slope CDP, Oregon","B01003_001",6305,731
"2010","4182800","Wilsonville city, Oregon","B01003_001",18900,215
"2010","4183950","Wood Village city, Oregon","B01003_001",3680,37
"2011","4101650","Aloha CDP, Oregon","B01003_001",48761,1455
"2011","4103850","Banks city, Oregon","B01003_001",1971,233
"2011","4104000","Barlow city, Oregon","B01003_001",227,145
"2011","4105250","Beavercreek CDP, Oregon","B01003_001",4145,550
"2011","4105350","Beaverton city, Oregon","B01003_001",89160,89
"2011","4105950","Bethany CDP, Oregon","B01003_001",19806,799
"2011","4109535","Bull Mountain CDP, Oregon","B01003_001",8666,678
"2011","4110750","Canby city, Oregon","B01003_001",15613,24
"2011","4112050","Cedar Hills CDP, Oregon","B01003_001",9024,602
"2011","4112150","Cedar Mill CDP, Oregon","B01003_001",15110,671
"2011","4115550","Cornelius city, Oregon","B01003_001",11706,38
"2011","4117800","Damascus city, Oregon","B01003_001",10412,46
"2011","4121250","Durham city, Oregon","B01003_001",1105,163
"2011","4123800","Estacada city, Oregon","B01003_001",2676,38
"2011","4124250","Fairview city, Oregon","B01003_001",8716,22
"2011","4126200","Forest Grove city, Oregon","B01003_001",20908,38
"2011","4127825","Garden Home-Whitford CDP, Oregon","B01003_001",6119,507
"2011","4128100","Gaston city, Oregon","B01003_001",710,170
"2011","4129000","Gladstone city, Oregon","B01003_001",11542,26
"2011","4130250","Government Camp CDP, Oregon","B01003_001",84,77
"2011","4131250","Gresham city, Oregon","B01003_001",103637,124
"2011","4132050","Happy Valley city, Oregon","B01003_001",13170,32
"2011","4134100","Hillsboro city, Oregon","B01003_001",89946,68
"2011","4137400","Jennings Lodge CDP, Oregon","B01003_001",7458,830
"2011","4137650","Johnson City city, Oregon","B01003_001",693,211
"2011","4139150","King City city, Oregon","B01003_001",3070,15
"2011","4140550","Lake Oswego city, Oregon","B01003_001",36704,70
"2011","4146730","Maywood Park city, Oregon","B01003_001",849,182
"2011","4147800","Metzger CDP, Oregon","B01003_001",3705,597
"2011","4148650","Milwaukie city, Oregon","B01003_001",20414,36
"2011","4149450","Molalla city, Oregon","B01003_001",7887,22
"2011","4150450","Mulino CDP, Oregon","B01003_001",2474,457
"2011","4153150","North Plains city, Oregon","B01003_001",1854,264
"2011","4153900","Oak Grove CDP, Oregon","B01003_001",17022,1053
"2011","4153988","Oak Hills CDP, Oregon","B01003_001",11099,394
"2011","4154325","Oatfield CDP, Oregon","B01003_001",13506,922
"2011","4155200","Oregon City city, Oregon","B01003_001",31430,29
"2011","4159000","Portland city, Oregon","B01003_001",576543,473
"2011","4160900","Raleigh Hills CDP, Oregon","B01003_001",6887,587
"2011","4162250","Rivergrove city, Oregon","B01003_001",249,51
"2011","4163010","Rockcreek CDP, Oregon","B01003_001",9886,448
"2011","4165250","Sandy city, Oregon","B01003_001",9188,18
"2011","4167100","Sherwood city, Oregon","B01003_001",17636,27
