GEOID,NAME,variable,year_2016,year_2021,pct_points_change
4101650,"Aloha CDP, Oregon",Asian,9.71,9.84,0.13
4101650,"Aloha CDP, Oregon",Black,3.77,4.25,0.48
4101650,"Aloha CDP, Oregon",HIPI,0.13,0.19,0.06
4101650,"Aloha CDP, Oregon",Hispanic,22.59,24.03,1.44
4101650,"Aloha CDP, Oregon",Native,0.65,0.27,-0.38
4101650,"Aloha CDP, Oregon",Two_races,4.35,10.40,6.06
4101650,"Aloha CDP, Oregon",White,59.79,54.88,-4.91
4103850,"Banks city, Oregon",Asian,2.01,1.68,-0.33
4103850,"Banks city, Oregon",Black,0.18,0.29,0.11
4103850,"Banks city, Oregon",HIPI,0.00,0.34,0.34
4103850,"Banks city, Oregon",Hispanic,6.40,13.94,7.54
4103850,"Banks city, Oregon",Native,0.41,0.00,-0.41
4103850,"Banks city, Oregon",Two_races,3.14,11.78,8.64
4103850,"Banks city, Oregon",White,88.80,73.56,-15.24
4104000,"Barlow city, Oregon",Asian,0.00,0.00,0.00
4104000,"Barlow city, Oregon",Black,0.00,0.00,0.00
4104000,"Barlow city, Oregon",HIPI,0.00,0.00,0.00
4104000,"Barlow city, Oregon",Hispanic,42.69,0.00,-42.69
4104000,"Barlow city, Oregon",Native,0.00,0.00,0.00
4104000,"Barlow city, Oregon",Two_races,9.94,0.00,-9.94
4104000,"Barlow city, Oregon",White,47.37,100.00,52.63
4105250,"Beavercreek CDP, Oregon",Asian,0.94,3.01,2.06
4105250,"Beavercreek CDP, Oregon",Black,0.00,0.92,0.92
4105250,"Beavercreek CDP, Oregon",HIPI,0.00,0.00,0.00
4105250,"Beavercreek CDP, Oregon",Hispanic,0.89,2.46,1.57
4105250,"Beavercreek CDP, Oregon",Native,0.00,1.39,1.39
4105250,"Beavercreek CDP, Oregon",Two_races,4.26,3.15,-1.11
4105250,"Beavercreek CDP, Oregon",White,93.90,89.82,-4.08
4105350,"Beaverton city, Oregon",Asian,11.29,12.36,1.07
4105350,"Beaverton city, Oregon",Black,1.94,2.18,0.24
4105350,"Beaverton city, Oregon",HIPI,0.39,0.55,0.16
4105350,"Beaverton city, Oregon",Hispanic,16.69,16.89,0.21
4105350,"Beaverton city, Oregon",Native,0.32,0.29,-0.03
4105350,"Beaverton city, Oregon",Two_races,4.53,8.27,3.74
4105350,"Beaverton city, Oregon",White,65.39,61.56,-3.83
4105950,"Bethany CDP, Oregon",Asian,33.56,40.49,6.93
4105950,"Bethany CDP, Oregon",Black,2.04,2.24,0.20
4105950,"Bethany CDP, Oregon",HIPI,0.32,0.38,0.07
4105950,"Bethany CDP, Oregon",Hispanic,4.57,5.02,0.45
4105950,"Bethany CDP, Oregon",Native,0.00,0.16,0.16
4105950,"Bethany CDP, Oregon",Two_races,5.53,5.31,-0.21
4105950,"Bethany CDP, Oregon",White,54.32,46.10,-8.22
4107550,"Boring CDP, Oregon",Asian,NA,4.20,NA
4107550,"Boring CDP, Oregon",Black,NA,0.00,NA
4107550,"Boring CDP, Oregon",HIPI,NA,0.00,NA
4107550,"Boring CDP, Oregon",Hispanic,NA,6.00,NA
4107550,"Boring CDP, Oregon",Native,NA,0.45,NA
4107550,"Boring CDP, Oregon",Two_races,NA,7.85,NA
4107550,"Boring CDP, Oregon",White,NA,81.49,NA
4109535,"Bull Mountain CDP, Oregon",Asian,11.93,8.30,-3.63
4109535,"Bull Mountain CDP, Oregon",Black,0.07,3.57,3.50
4109535,"Bull Mountain CDP, Oregon",HIPI,1.05,0.92,-0.13
