GEOID,NAME,variable,year_2016,year_2021,pct_points_change
4107550,"Boring CDP, Oregon",White,NA,81.49,NA
4112850,"Cherry Grove CDP, Oregon",White,NA,79.63,NA
4117800,"Damascus CDP, Oregon",White,NA,84.91,NA
4117800,"Damascus city, Oregon",White,87.45,NA,NA
4119650,"Dilley CDP, Oregon",White,NA,100,NA
4121215,"Dunthorpe CDP, Oregon",White,NA,88.42,NA
4146100,"Marlene Village CDP, Oregon",White,NA,66.69,NA
4150236,"Mount Hood Villages CDP, Oregon",White,NA,91.02,NA
4155500,"Orient CDP, Oregon",White,NA,97.67,NA
4161550,"Rhododendron CDP, Oregon",White,NA,100,NA
4104000,"Barlow city, Oregon",White,47.37,100,52.63
4169800,"Stafford CDP, Oregon",White,79.23,94.4,15.17
4150450,"Mulino CDP, Oregon",White,84.3,92.98,8.68
4146730,"Maywood Park city, Oregon",White,79.23,86.43,7.2
4149450,"Molalla city, Oregon",White,81.66,88.76,7.1
4128100,"Gaston city, Oregon",White,83.15,89.07,5.92
4130250,"Government Camp CDP, Oregon",White,94.21,100,5.79
4123800,"Estacada city, Oregon",White,87.28,92.26,4.98
4180900,"West Slope CDP, Oregon",White,78.67,82.7,4.03
4163010,"Rockcreek CDP, Oregon",White,72.74,75.18,2.44
4137400,"Jennings Lodge CDP, Oregon",White,78.48,80.82,2.34
4155200,"Oregon City city, Oregon",White,85.71,88.03,2.32
4115550,"Cornelius city, Oregon",White,41.6,42.98,1.38
4110750,"Canby city, Oregon",White,74.81,75.91,1.1
4109535,"Bull Mountain CDP, Oregon",White,76.65,77.18,0.53
4162250,"Rivergrove city, Oregon",White,76.48,76.51,0.03
4167100,"Sherwood city, Oregon",White,82.7,81.88,-0.82
4127825,"Garden Home-Whitford CDP, Oregon",White,87.68,86.14,-1.54
4137650,"Johnson City city, Oregon",White,79.71,78.05,-1.66
4182800,"Wilsonville city, Oregon",White,75.29,73.15,-2.14
4131250,"Gresham city, Oregon",White,65.65,63.3,-2.35
4173650,"Tigard city, Oregon",White,74.35,71.88,-2.47
4159000,"Portland city, Oregon",White,71.55,68.76,-2.79
4154325,"Oatfield CDP, Oregon",White,86.63,83.3,-3.33
4180150,"West Linn city, Oregon",White,85.73,82.28,-3.45
4126200,"Forest Grove city, Oregon",White,68.84,65.3,-3.54
4165250,"Sandy city, Oregon",White,87.21,83.53,-3.68
4147800,"Metzger CDP, Oregon",White,74.24,70.53,-3.71
4148650,"Milwaukie city, Oregon",White,84.41,80.63,-3.78
4105350,"Beaverton city, Oregon",White,65.39,61.56,-3.83
4105250,"Beavercreek CDP, Oregon",White,93.9,89.82,-4.08
4101650,"Aloha CDP, Oregon",White,59.79,54.88,-4.91
4112150,"Cedar Mill CDP, Oregon",White,73.28,68.33,-4.95
4134100,"Hillsboro city, Oregon",White,59.42,54.25,-5.17
4174850,"Troutdale city, Oregon",White,76.45,71.04,-5.41
4153900,"Oak Grove CDP, Oregon",White,86.25,80.34,-5.91
4132050,"Happy Valley city, Oregon",White,70.02,63.57,-6.45
4129000,"Gladstone city, Oregon",White,82.51,75.92,-6.59
4160900,"Raleigh Hills CDP, Oregon",White,84.47,77.73,-6.74
4153988,"Oak Hills CDP, Oregon",White,71.6,64.68,-6.92
4174950,"Tualatin city, Oregon",White,73.63,66.26,-7.37
4180025,"West Haven-Sylvan CDP, Oregon",White,83.73,76.08,-7.65
4105950,"Bethany CDP, Oregon",White,54.32,46.1,-8.22
4140550,"Lake Oswego city, Oregon",White,86,77.65,-8.35
4183950,"Wood Village city, Oregon",White,47.02,38.4,-8.62
4139150,"King City city, Oregon",White,92.14,80.93,-11.21
4153150,"North Plains city, Oregon",White,80.36,65.4,-14.96
4103850,"Banks city, Oregon",White,88.8,73.56,-15.24
4124250,"Fairview city, Oregon",White,75.17,58.55,-16.62
4121250,"Durham city, Oregon",White,72.9,55.04,-17.86
4112050,"Cedar Hills CDP, Oregon",White,80.69,60.29,-20.4
